Name,Address,City,state,zip,Phone
Southeast Bronx Neighborhood Center Inc. (SEBNC),800 Home Street,Bronx,NY,10456,718-542-2727
The Children's Aid Society,2225 Webster Avenue,Bronx,NY,10457,212-949-4800
Wildcat Service Corporation,560 East 179 Street,Bronx,NY,10457,212-209-6000
BronxWorks,1130 Grand Concourse,Bronx,NY,10456,718-508-3123
Episcopal Social Services,1980 Lafayette Avenue,Bronx,NY,10473,212-675-1000
Federation Employment and Guidance Service,244 East 163rd Street,Bronx,NY,10451,212-366-8400
Henkels & McCoy Inc. ,99 Terrace View Avenue,Bronx,NY,10463,917-836-8991
Mid-Bronx Council Services,900 Grand Concourse,Bronx,NY,10451,718-588-8200
Mosholu Montefiore Community Center,3400 Reservoir Oval,Bronx,NY,10467,718-882-4000
Simpson Street Development Association,977 Fox Street,Bronx,NY,10459,718-589-1510
South Bronx Overall Economic Development Corp.,555 Bergen Avenue,Bronx,NY,10455,718-292-3113
