Name,Address,City,state,zip,Phone Number,Description,latitude,longitude
Bronx Lebanon Hospital,"1316 Fulton Avenue, 1st Floor",Bronx,NY,10456,(718) 860-4634/4635 ,,,
Lincoln Medical and Mental Health Center,234 East 149th Street ,Bronx,NY,10451,(718) 585-7872/7920,,,
North Central Bronx Hospital,"3424 Kossuth Avenue,",Bronx,NY,10467,(718) 920-1070,,,
Morrisania,"1225 Gerard Avenue, Basement",Bronx,NY,10452,(718) 960-2799/2752,,,
Boerum Hill,35 Fourth Avenue,Brooklyn,NY,11217,(718) 623-7427/7428,,,
Kings County Hospital Medicaid Office,441 Clarkson Avenue,Brooklyn,NY,11203,(718) 718-221-2300/2301,,,
Coney Island,30-50 West 21st Street,Brooklyn,NY,11224,(718) 333-3000/3001,,,
East New York,"2094 Pitkin Avenue, Basement",Brooklyn,NY,11207,(718) 922-8292/8293,,,
Bellevue Hospital Medicaid Office,"462 First Avenue, Ground Floor",New York,NY,10016,(212) 679-7424,,,
Chinatown Medicaid Office,115 Chrystie Street (5th floor),New York,NY,10002,(212) 334-6114,,,
Metropolitan Hospital,"1901 First Avenue. 1st Floor, Room 1D-27",New York,NY,10029,(212) 423-7006,,,
Manhattanville Medicaid Office,"520-530 West 135th Street, 1st Floor",New York,NY,10031,(212) 939-0207/0208,,,
Queens Community Medicaid Office,"45-12 32nd Place, 1st Floor",Long Island City,NY,11101,(718) 752-4540,,,
Staten Island,215 Bay Street,Staten Island,NY,10301,(718) 420-4660/4732,,,
