Name,Address,City,State,Zip code,Telephone,description,lat,long
Bronx Lebanon Hospital,1316 Fulton Avenue,Bronx,NY,10456,(718) 860-4634/4635,,40.83268002,-73.90308638
Morrisania,1225 Gerard Avenue,Bronx,NY,10452,(718) 960-2799/2752,,40.83590639,-73.92003404
Boerum Hill,35 Fourth Avenue,Brooklyn,NY,11217,(718) 623-7427/7428,,40.6833694,-73.97889237
Coney Island,30 50 West 21st Street,Brooklyn,NY,11224,(718) 333-3000/3001,,42.433189,-78.748646
East New York,2094 Pitkin Avenue,Brooklyn,NY,11207,(718) 922-8292/8293,,40.6719625,-73.89520529
Bushwick,30 Thornton Street,Brooklyn,NY,11206,(718) 963-4454,,40.7009546,-73.94372615
Chinatown Medicaid Office,212 334,New York,NY,10002,(212) 334-6114,,40.82618422,-72.94013419
Metropolitan Hospital,1901 First Avenue 1st Floor,New York,NY,10029,(212) 423-7006,,40.78455702,-73.94379565
Manhattanville Medicaid Office,520 530 West 135th Street,New York,NY,10031,(212) 939-0207/0208,,40.756054,-73.986951
Elmhurst Hospital,79 01 Broadway,Elmhurst,NY,11373,(718) 476-5904,,42.119668,-79.292406
Rockaway,219 Beach 59th Street,Arverne,NY,11692,(718) 634-6910,,40.5925168,-73.7890399
Jamaica,165 08 88th Avenue,Jamaica,NY,11432,(718) 523-5699,,40.696147,-73.804432
Staten Island,215 Bay Street,Staten Island,NY,10301,(718) 420-4660/4732,,40.606674,-74.162401
"Alianza Dominicana, Inc.",2410 Amsterdam Avenue,New York,NY,10033,(212) 740-1960,,40.84715514,-73.93158876
"Brooklyn Perinatal Network, Inc.",30 Third Avenue,Brooklyn,NY,11217,(718) 643-8258,,42.433189,-78.748646
The Children's Aid Society,150 45th Street,New York,NY,10017,(212) 503-6804,,40.65122087,-74.01294591
Hispanic Federation,55 Exchange Place,New York,NY,10005,(212) 233-8955,,40.70617247,-74.01084613
Jewish Community Center of Staten Island,475 Victory Boulevard,Staten Island,NY,10301,(718) 981-1400,,40.63062775,-74.08851956
Joseph P. Addabbo Family Health Center,1288 Central Avenue,Far Rockaway,NY,11691,(718) 868-8291,,40.60780733,-73.74882173
Make the Road New York,301 Grove Street,Brooklyn,NY,11237,(718) 418-7690 ,,40.6984285,-73.91562347
Metropolitan New York Coordinating Council on Jewish Poverty,80 Maiden Lane,New York,NY,10038,(212) 453-9595,,40.70722063,-74.00745557
Morris Heights Health Center,2042 Grand Avenue,New York,NY,10453,(718) 483-1260,,40.756054,-73.986951
Public Health Solutions,220 Church Street,New York,NY,10013,(646) 619-6400,,40.71698884,-74.0063801
Ridgewood Bushwick Senior Citizens Council,217 Wyckoff Avenue,Brooklyn,NY,11237,(718) 366-3800,,40.70211766,-73.9156586
Safe Space,96 01 43rd Avenue,Corona,NY,11368,(718) 205-9294,,40.752579,-73.852598
Structured Employment Economic Development (SEEDCO),915 Broadway,New York,NY,10010,(212) 473-0255,,40.73980307,-73.98959503
Yeled V' Yalda,3820 14th Avenue,Brooklyn,NY,11218,"(718) 686-2188, 2189",,40.63974363,-73.98365575
Chelsea Health Center,303 Ninth Avenue,New York,NY,10001,(212) 244-0841,,40.74929991,-73.99927173
Corona Health Center,34 33 Junction Boulevard,Jackson Heights,NY,11372,(718) 476-7860,,40.751979,-73.882824
Crown Heights Health Center,1219 Prospect Place,Brooklyn,NY,11213,(718) 953-8234/8236,,40.67354525,-73.93566629
Fort Greene Health Center,295 Flatbush Avenue,Brooklyn,NY,11201,(718) 643-4467/4445,,40.6920534,-73.98241302
Homecrest Health Center,1601 Avenue,Brooklyn,NY,11229,(718) 336-2553 x144/145,,42.433189,-78.748646
Jamaica Health Center,90 37 Parsons Boulevard,Jamaica,NY,11437,(718) 262-5512,,40.696147,-73.804432
Staten Island Health Center,51 Stuyvesant Place,Staten Island,NY,10301,(718) 420-4714,,40.64486657,-74.07827453
Tremont Health Center,1826 Arthur Avenue,Bronx,NY,10457,(718) 466-8842/8883,,40.84400021,-73.89454872
Washington Heights Health Center,600 168th Street,New York,NY,10032,(212) 491-1661/4453,,40.84112788,-73.9399617
Affinity Health Plan,2500 Halsey Street,Bronx,NY,10461,(866) 247-5678,,40.83749318,-73.84263915
AmeriChoice by UnitedHealthcare,77 Water Street,New York,NY,10005,(800) 493-4647,,40.70440576,-74.00848079
Amerigroup Community Care,360 31st Street,New York,NY,10001,(800) 600-4441,,40.75098968,-73.9965786
Fidelis Care NY,95 25 Queens Boulevard,Rego Park,NY,11374,(888) 343-3547,,40.723648,-73.862168
HealthFirst,25 Broadway,New York,NY,10004,(800) 404-8778,,40.87333788,-73.91157108
Health Plus,241 37th Street,Brooklyn,NY,11232,(888) 809-8009,,40.59404709,-73.9935387
Health Insurance Plan of New York (HIP),55 Water Street,New York,NY,10041,(800) 542-2412,,40.70402754,-74.00899848
MetroPlus Health Plan,160 Water Street,New York,NY,10038,(800) 475-6387,,40.70651017,-74.00551303
Neighborhood Health Providers,521 Fifth Avenue,New York,NY,10175,800-826-6240,,40.75438108,-73.98022409
"WellCare, Inc.",110 Fifth Avenue,New York,NY,10011,(800) 992-6095,,40.73750081,-73.99250883
