Facility,Address,City,state,Zip Code,Telephone,Email,Notes,Lat,Long
Workforce1 Industrial & Transportation Career Center,"168-46 91st Ave., 2nd Floor",Jamaica,NY,11432,(718) 577-2194,industrialandtransportation@grantassociatesinc.com ,2nd floor,40.70736514,-73.79216419
Workforce1 Healthcare Career Center ,"30-20 Thomson Avenue, Room B-A22",Long Island City,NY,11101,718-730-7500,HealthcareCareers@lagcc.cuny.edu ,Room B-A22,40.74509109,-73.93681382
Upper Manhattan Workforce1 Career Center ,"215 West 125th Street, 6th Floor",New York,NY,10027,(917) 493-7054,umworkforce1@edsisolutions.com ,6th floor,40.80935664,-73.94915252
University Heights Workforce1 Career Center,2150 University Avenue,Bronx,NY,10453,(718) 552-1550,WF1FMlibrary@fegs.org,,40.85771318,-73.90941148
Sunset Park Library Workforce1 Career Center ,"5108 4th Avenue, Lower Level",Brooklyn,NY,11220,(347) 296-8063,Workforce1sunsetpark@grantassociatesinc.com ,"by appointment only, Lower Level",40.64590743,-74.01333818
Staten Island Workforce1 Career Center,"120 Stuyvesant Place, 3rd Floor",Staten Island,NY,10301,(718) 285-8388,Workforce1@edsisolutions.com,3rd floor,40.64319952,-74.07717373
Staten Island South Shore Workforce1 Career Center,"3845 Richmond Avenue, 2nd Floor",Staten Island,NY,10301,(347) 308-5018,Workforce1SouthShore@edsisolutions.com,"by appointment only, 2nd floor",40.54429312,-74.1651976
South Bronx Workforce1 Career Center ,560 Exterior Street,Bronx,NY,10451,718-319-7993,WF1Hostos@fegs.org ,by appointment only,40.81900531,-73.93010243
Queens Workforce1 Career Center ,"168-25 Jamaica Avenue, 2nd Floor",Jamaica,NY,11432,(718) 557- 6755,Workforce1Queens@grantassociatesinc.com,2nd floor,40.70667005,-73.79181092
New York State Department of Labor:MetroTech Workforce1 Career Center,250 Schermerhorn Street,Brooklyn,NY,11201,(718) 577-2194,Brooklyn@labor.ny.gov,,40.68830789,-73.98437896
New York State Department of Labor:Lower Manhattan Workforce1 Career Center,"1 Hudson Square, 75 Varick Street",New York,NY,10013,(212) 775-3771,Varickstreet@labor.ny.gov,,40.72328361,-74.00627133
New York State Department of Labor:Flushing Workforce1 Career Center,"138-60 Barclay Avenue, 2nd Floor",Flushing,NY,11355,(718) 321-6307,Flushing@labor.ny.gov ,2nd floor,40.75829915,-73.82665813
"Midtown Workforce1 Career Center (As of February 25, 2013)","1250 Broadway, Suite 810",New York,NY,10001,(646) 358-4747,workforce1madisonave@grantassociatesinc.com,"by appointment only, suite 810",40.74793758,-73.98816691
Long Island City Workforce1 Career Center,38-81 13th Street,Long Island City,NY,11101,(718) 784-0877,Workforce1LIC@erdalliance.org,by appointment only,40.75605063,-73.94157429
John Street Workforce1 Career Center,"79 John Street, 2nd Floor",New York,NY,10038,(212) 618-8871,Workforce1JohnSt@edsisolutions.com,"by appointment only, 2nd floor",40.70851401,-74.0068843
Hunts Point Workforce1 Career Center,"1029 E 163rd Street, 3rd Floor",Bronx,NY,10459,(718) 542-6777,Workforce1HuntsPoint@vipservices.org,3rd floor,40.82104786,-73.89165295
Flushing Library Workforce1 Career Center,"41-17 Main Street, 3rd Floor",Flushing,NY,11355,(718) 412-0926,Workforce1flushinglibrary@grantassociatesinc.com,"by appointment only, 3rd floor",40.7577701,-73.82918412
Brooklyn Workforce1 Career Center,"9 Bond Street, 5th Floor",Brooklyn,NY,11201,(718) 246-5219,Workforce1Brooklyn@grantassociatesinc.com,5th floor,40.68938436,-73.98309617
Brooklyn Central Library Workforce1 Career Center,"10 Grand Army Plaza, 2nd Floor",Brooklyn,NY,11238,(347) 765-2250,Workforce1centralbklyn@grantassociatesinc.com ,"by appointment only, 2nd floor",40.69245,-73.99036
Bronx Workforce 1 Career Center,400 East Fordham Road,Bronx,NY,10458,(718) 960-2458,workforce1bronx@fegs.org,,40.86158926,-73.89117323
